City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Jinji,23.2281,110.8261,12.61,57,0,1.6,CN,1677442791
1,Ushuaia,-54.8,-68.3,12.81,58,75,2.06,AR,1677442792
2,Osorno,-40.5667,-73.15,20.14,48,75,2.57,CL,1677442793
3,Linhares,-19.3911,-40.0722,28.54,61,11,4.72,BR,1677442793
4,Tongling,30.95,117.7833,2.32,73,0,1.45,CN,1677442794
5,Esperance,-33.8667,121.9,17.14,80,100,4.41,AU,1677442795
6,Bredasdorp,-34.5322,20.0403,19.05,75,7,4.4,ZA,1677442795
7,Nikolskoye,59.7035,30.7861,-4.06,88,100,4.93,RU,1677442796
8,Karera,25.4667,78.15,20.71,25,100,1.5,IN,1677442797
9,Punta Arenas,-53.15,-70.9167,15.06,63,100,9.77,CL,1677442797
10,Te Anau,-45.4167,167.7167,12.27,89,61,0.52,NZ,1677442798
11,Bluff,-46.6,168.3333,13.62,83,97,2.18,NZ,1677442799
12,San Quintín,30.4833,-115.95,13.81,51,8,6.63,MX,1677442799
13,Margate,51.3813,1.3862,5.39,71,22,3.58,GB,1677442800
14,Narsaq,60.9167,-46.05,-2.88,79,100,0.74,GL,1677442800
15,Salalah,17.0151,54.0924,23.05,49,0,2.06,OM,1677442801
16,Zhangjiakou,40.81,114.8794,-1.54,59,22,0.69,CN,1677442801
17,Clyde River,70.4692,-68.5914,-29.87,69,93,3.6,CA,1677442802
18,Hasaki,35.7333,140.8333,-2.78,47,2,6.17,JP,1677442803
19,Pimenteiras,-6.2453,-41.4192,31.85,43,53,2.81,BR,1677442804
20,Busselton,-33.65,115.3333,19.37,71,100,4.8,AU,1677442805
21,Souillac,-20.5167,57.5167,24.21,88,20,1.54,MU,1677442806
22,Finschhafen,-6.6024,147.8681,25.75,88,100,1.3,PG,1677442806
23,Pevek,69.7008,170.3133,-32.77,94,20,1.98,RU,1677442807
24,Evensk,61.95,159.2333,-25.75,99,100,1.59,RU,1677442808
25,Vestmannaeyjar,63.4427,-20.2734,7.88,81,100,9.83,IS,1677442809
26,Hong Kong,22.2855,114.1577,15.21,66,12,4.92,HK,1677442672
27,Pundaguitan,6.3711,126.1689,26.82,81,98,7.32,PH,1677442810
28,Cherskiy,68.75,161.3,-35.31,97,5,2.29,RU,1677442811
29,Avarua,-21.2078,-159.775,29.03,61,64,2.06,CK,1677442811
30,Henties Bay,-22.116,14.2845,17.94,84,46,2.57,NA,1677442812
31,Hay River,60.8156,-115.7999,-15.02,72,40,5.66,CA,1677442813
32,Mahébourg,-20.4081,57.7,24.58,88,20,1.54,MU,1677442815
33,Vila Franca do Campo,37.7167,-25.4333,16.23,81,100,6.83,PT,1677442816
34,Ginda,30.6945,78.4932,7.73,39,0,3.19,IN,1677442818
35,Faanui,-16.4833,-151.75,28.12,72,16,5.09,PF,1677442819
36,Hengyang,26.8881,112.615,8.22,58,0,1.13,CN,1677442819
37,Yar-Sale,66.8333,70.8333,-23.38,100,88,1.35,RU,1677442820
38,Castro,-24.7911,-50.0119,22.5,86,71,2.73,BR,1677442821
39,Hithadhoo,-0.6,73.0833,27.34,78,15,3.17,MV,1677442821
40,Kapaa,22.0752,-159.319,22.18,85,75,8.23,US,1677442822
41,Albany,42.6001,-73.9662,4.4,69,66,1.34,US,1677442820
42,Ilulissat,69.2167,-51.1,-12.99,52,53,5.14,GL,1677442823
43,Dombarovskiy,50.7587,59.5386,-9.04,88,8,6.48,RU,1677442824
44,Jamestown,42.097,-79.2353,6.96,40,0,6.69,US,1677442758
45,Harper,4.375,-7.7169,26.57,86,100,4.73,LR,1677442825
46,Tessalit,20.1986,1.0114,22.85,9,0,3.47,ML,1677442826
47,Cape Town,-33.9258,18.4232,19.38,80,0,9.26,ZA,1677442805
48,Tasiilaq,65.6145,-37.6368,-2.91,76,100,3.79,GL,1677442827
49,Jacksonville Beach,30.2947,-81.3931,31.15,49,0,4.63,US,1677442828
50,Kirakira,-10.4544,161.9205,26.71,85,89,2.43,SB,1677442828
51,George Town,5.4112,100.3354,26.96,71,20,2.06,MY,1677442568
52,Gīdam,18.9833,81.4,17.98,31,0,0.84,IN,1677442829
53,Bethel,41.3712,-73.414,5.27,75,100,4.12,US,1677442565
54,Mbigou,-1.9005,11.906,19.29,96,99,1.08,GA,1677442830
55,Buala,-8.145,159.5921,26.45,83,100,1.74,SB,1677442831
56,Rocha,-34.4833,-54.3333,22.22,42,0,5.21,UY,1677442832
57,Sambava,-14.2667,50.1667,24.91,85,2,2.73,MG,1677442832
58,Mataura,-46.1927,168.8643,13.15,82,72,0.55,NZ,1677442833
59,Dikson,73.5069,80.5464,-28.12,99,98,7.74,RU,1677442834
60,Port-Gentil,-0.7193,8.7815,24.98,100,20,1.54,GA,1677442835
61,Rikitea,-23.1203,-134.9692,26.84,72,21,6.68,PF,1677442835
62,Tongliao,43.6125,122.2653,-0.51,54,6,6.86,CN,1677442836
63,Srandakan,-7.9386,110.2506,24.21,89,100,1.25,ID,1677442837
64,Ribeira Grande,38.5167,-28.7,12.1,87,40,15.43,PT,1677442838
65,Nirmal,19.1,78.35,24.15,27,0,1.82,IN,1677442839
66,Kumul,42.8,93.45,3.41,34,100,6.51,CN,1677442840
67,East London,-33.0153,27.9116,20.82,76,99,6.43,ZA,1677442841
68,Pangnirtung,66.1451,-65.7125,-34.1,96,38,1.73,CA,1677442842
69,Atuona,-9.8,-139.0333,26.67,77,7,6.76,PF,1677442843
70,Hobart,-42.8794,147.3294,12.92,94,75,4.12,AU,1677442495
71,Katsuura,35.1333,140.3,5.15,51,0,5.56,JP,1677442844
72,North Bend,43.4065,-124.2243,8.93,71,75,6.69,US,1677442844
73,Bayir,37.2687,28.2167,12.29,90,98,4.52,TR,1677442845
74,Roebourne,-20.7833,117.1333,28.85,71,80,3.54,AU,1677442846
75,Meulaboh,4.1363,96.1285,23.9,89,93,1.64,ID,1677442846
76,Yangi Marg`ilon,40.4272,71.7189,4.68,71,15,0.98,UZ,1677442847
77,Hermanus,-34.4187,19.2345,18.22,79,0,5.59,ZA,1677442847
78,Tuktoyaktuk,69.4541,-133.0374,-21.0,77,100,5.14,CA,1677442848
79,Morro Bay,35.3658,-120.8499,13.38,67,84,2.68,US,1677442848
80,Port Alfred,-33.5906,26.891,19.54,94,32,2.24,ZA,1677442849
81,Eureka,40.8021,-124.1637,9.55,90,98,2.97,US,1677442568
82,Vostok,46.4856,135.8833,-16.26,96,13,2.88,RU,1677442849
83,Puerto Ayora,-0.7393,-90.3518,28.98,91,98,5.36,EC,1677442850
84,Kūhdasht,33.535,47.6061,11.93,44,72,1.19,IR,1677442850
85,Arraial do Cabo,-22.9661,-42.0278,29.98,65,0,7.2,BR,1677442851
86,Torbay,47.6666,-52.7314,-11.8,66,75,9.26,CA,1677442851
87,Tiksi,71.6872,128.8694,-33.12,97,100,5.2,RU,1677442852
88,Basoko,1.2391,23.616,23.2,78,100,1.67,CD,1677442852
89,Saint Augustine,29.8947,-81.3145,31.15,54,20,3.6,US,1677442853
90,Bonga,7.2833,36.2333,20.81,53,100,0.99,ET,1677442853
91,Raudeberg,61.9875,5.1352,3.26,21,100,1.47,NO,1677442854
92,Aktau,43.65,51.2,3.32,91,5,4.95,KZ,1677442854
93,Saint George,37.1041,-113.5841,7.36,54,100,6.69,US,1677442823
94,Omboué,-1.5746,9.2618,21.61,92,100,5.62,GA,1677442855
95,Yumen,40.2833,97.2,-0.5,54,8,2.13,CN,1677442855
96,Dunnville,42.9001,-79.6163,2.84,85,22,5.36,CA,1677442856
97,Karratha,-20.7377,116.8463,28.6,74,83,3.87,AU,1677442856
98,Kruisfontein,-34.0033,24.7314,19.94,90,10,4.28,ZA,1677442857
99,Dunedin,-45.8742,170.5036,13.42,84,100,0.95,NZ,1677442773
100,Buraidah,26.326,43.975,19.25,30,26,4.47,SA,1677442857
101,Thompson,55.7435,-97.8558,-11.91,61,100,2.57,CA,1677442858
102,Panzhihua,26.5851,101.7128,8.89,87,9,0.78,CN,1677442859
103,College,64.8569,-147.8028,-17.74,78,75,1.54,US,1677442606
104,Bo Rai,12.5728,102.5371,24.29,70,39,3.89,TH,1677442859
105,Longyearbyen,78.2186,15.6401,-1.09,55,75,12.35,SJ,1677442860
106,Thohoyandou,-22.9456,30.485,18.95,95,100,5.98,ZA,1677442861
107,Nabire,-3.3667,135.4833,24.07,90,98,1.13,ID,1677442862
108,Dire Dawa,9.5931,41.8661,21.52,69,44,1.28,ET,1677442863
109,Husavik,66.0449,-17.3389,2.9,82,8,5.41,IS,1677442864
110,Porto Belo,-27.1578,-48.5531,24.33,91,100,3.58,BR,1677442864
111,Galle,6.0367,80.217,22.97,81,100,2.58,LK,1677442865
112,Fare,-16.7,-151.0167,28.06,70,18,5.2,PF,1677442866
113,Berlevåg,70.8578,29.0864,3.0,93,75,7.72,NO,1677442867
114,Tual,-5.6667,132.75,28.33,78,99,6.34,ID,1677442867
115,Samarai,-10.6167,150.6667,26.92,79,100,2.75,PG,1677442868
116,Sorong,-0.8833,131.25,26.9,83,100,3.94,ID,1677442869
117,Arrifes,37.7667,-25.7,15.14,82,20,6.17,PT,1677442870
118,Baryatino,54.3121,34.521,-5.92,90,100,6.08,RU,1677442871
119,Mayumba,-3.432,10.6554,25.72,87,100,2.46,GA,1677442872
120,Puerto Colombia,10.9878,-74.9547,29.05,76,72,10.25,CO,1677442873
121,New Norfolk,-42.7826,147.0587,12.73,77,98,0.86,AU,1677442873
122,Ust-Tsilma,65.441,52.1498,-22.37,100,100,1.46,RU,1677442874
123,Talara,-4.5772,-81.2719,30.42,54,0,5.66,PE,1677442875
124,Lavrentiya,65.5833,-171.0,-28.7,89,14,1.34,RU,1677442876
125,Kavieng,-2.5744,150.7967,27.5,74,91,1.62,PG,1677442877
126,Juneau,58.3019,-134.4197,-2.1,97,75,0.0,US,1677442877
127,Baringo,0.4667,35.9667,25.55,43,97,0.87,KE,1677442878
128,Whitehorse,60.7161,-135.0538,-15.5,75,75,3.6,CA,1677442879
129,Kirsanov,52.6549,42.7224,0.52,92,100,5.63,RU,1677442879
130,Beroroha,-21.6667,45.1667,23.0,87,100,1.05,MG,1677442880
131,Ancud,-41.8697,-73.8203,15.21,66,36,4.68,CL,1677442881
132,Grand Gaube,-20.0064,57.6608,24.65,79,4,0.89,MU,1677442881
133,Mount Gambier,-37.8333,140.7667,14.18,88,99,2.97,AU,1677442882
134,Saint Paul Harbor,57.79,-152.4072,0.73,47,0,10.8,US,1677442883
135,Vaini,-21.2,-175.2,28.09,89,75,4.63,TO,1677442884
136,Kieta,-6.2167,155.6333,26.1,84,80,1.66,PG,1677442885
137,Padang,-0.9492,100.3543,24.75,81,67,2.61,ID,1677442886
138,Vanimo,-2.6741,141.3028,24.67,89,90,2.36,PG,1677442887
139,Lompoc,34.6391,-120.4579,14.18,63,46,2.24,US,1677442888
140,Broome,42.2506,-75.833,7.21,43,20,8.75,US,1677442888
141,Diffa,13.3154,12.6113,27.05,9,18,2.98,NE,1677442889
142,Cassilândia,-19.1133,-51.7342,28.1,74,95,0.66,BR,1677442890
143,Anadyr,64.75,177.4833,-23.72,76,100,6.0,RU,1677442890
144,Basti,26.8,82.7167,16.56,36,4,2.1,IN,1677442892
145,Deniliquin,-35.5333,144.9667,14.45,88,0,2.95,AU,1677442892
